TWh/a,biomass,electricity,gas,heat,liquid,other,solid,waste
AL0 0,0.0907224897061764,1.3194081245371165,1.0540871718393698,0.1069122138821958,0.44170954529054046,0.0001899470371608587,0.22142272718791697,0.011488854521904438
AT0 0,13.164726770084677,27.22805555555556,39.00525957225661,3.47361111111112,19.64633457554916,1.9006307638846924e-15,16.776900062024772,3.534166666666665
BA0 0,0.40234718736183767,2.663619653261222,3.3356550437319896,0.21530903620426822,1.0916551183537873,0.00027290465807587366,2.452044785830806,0.1888322935766968
BE0 0,7.784102144766946,37.936048694989566,58.673936005082325,5.111665214473614,95.53605633767181,3.222808686587093e-15,20.097193904489373,1.6711102029711074
BG0 0,3.0236036538322306,8.946154189110981,13.852493097230314,4.303627704805952,2.5422715260891864,-1.5494272531668687e-16,2.1557720503490208,0.3469444444444443
CH0 0,1.8642551181212894,11.394106928818328,11.412521544330012,2.3148770985251335,14.721711822759035,0.0019883254530985647,2.865468804556764,0.4870401894715109
CZ0 0,5.568606219610832,22.64203631142461,29.978130822826113,7.1663826498279235,16.47335710239598,5.3300297508940275e-15,21.389389507196427,2.1994425249890335
DE0 0,30.458388159811925,224.88012135792758,273.7065415839025,48.175000000000004,207.64721330126176,-3.983060992140964e-14,112.00969169432102,11.935000000000029
DK0 0,1.1575822567039342,5.831701591797704,5.256301512054524,0.6698819365470587,3.672329793302736,-1.0169877656460025e-15,1.0186407665247208,0.17932947883358138
DK3 0,0.4835304859917715,2.5652499520010346,2.3762150557282324,0.2623426507453663,0.9138016355256854,-4.601328823730785e-16,0.1461011350046103,0.007614830339862268
EE6 0,1.2084303864667596,2.088789093308476,1.5557343282410594,0.4336472138185914,0.8073462116444776,1.0329515021112454e-16,0.3474857237077613,0.1425013098269182
ES0 0,15.528607635750774,75.57816919436442,87.54616064374609,0.0,60.084718546205565,0.027739198245938086,13.81452006109949,0.0
ES2 0,0.09854175074740582,0.4668727896488009,0.4108150361851007,0.0,0.2836370446496488,0.00031615833559796064,0.006631278271432684,0.0
FI3 0,40.24437176865462,37.89296709776631,9.986658644361796,14.707755751898997,24.47420252153694,-9.467000516849566e-15,6.544818058441615,0.5661103449414717
FR0 0,15.856122078410124,107.01896081144257,142.27858137747134,1.1066684168580496,134.26870883612736,0.005277782159279697,46.938858893466374,0.007222227248067399
GB4 0,0.26887041587739113,2.0337679962191157,2.037721666111998,0.23527192618124665,2.8387128051292314,-1.0384505277196394e-16,0.6160313674292653,0.02839888711314379
GB5 0,9.482798089658724,90.41819575113867,92.82397484113513,7.84084088727864,93.96096735026221,-1.5488773506060287e-15,42.3977408470756,1.0016011303666776
GR0 0,2.2711153094325334,12.668004313498935,9.061679607727301,0.0,14.748657931534611,0.01250000000000124,2.537240739413714,0.7505566038833922
HR0 0,0.3533339702108337,3.718042089576274,8.81671867750779,0.6400103884339919,3.318684620251453,6.507594463300847e-16,0.9052783854013455,0.1083333333333333
HU0 0,1.4885977734689395,15.39004339946057,21.646798224922524,4.116401762922,21.940533100014505,0.012222255042832805,3.952818397583809,0.6400001260309949
IE4 0,2.025746514689043,9.843888972278329,8.905431756159556,0.0,5.6278134993206015,3.718625407600486e-16,1.234226238552948,0.4327777777777781
IT0 0,4.459210494890251,109.40124768190041,101.7160029750633,30.61742671789084,69.58871110000095,0.12970599667267133,19.987919864194048,3.059986437408648
IT1 0,0.08827603107560159,3.2636434567161743,3.4643493435580512,0.7334066154425142,2.931760907322399,0.0036273366606624936,0.019024580250430558,0.06334689592467999
LT6 0,1.0330341347674996,3.36187755238879,14.257183405973164,2.2063480103392,1.2063810785062188,3.692801620047704e-16,1.1230358643916143,0.0
LU0 0,0.2847239611757737,3.160028622902627,3.2560027026526077,0.0027777871853961,0.15333477600774142,-7.230660514778719e-17,0.5541700033115587,0.1580565072101628
LV6 0,4.173084962530235,1.7029943416483149,1.4024040573914474,0.40277777777777735,0.570818931117417,1.852856756912047e-16,0.2816686515346953,0.6397267302607421
ME0 0,0.12569119121726083,0.35978332036977057,0.42839789624369595,0.046804077460538114,0.28536151432950757,0.00011996824132199681,0.13606169304607157,0.040715786202676366
MK0 0,0.032816467135642485,1.3735679486560508,1.4928050754143332,0.09713038585775562,0.303579822001653,8.444605344863836e-05,1.3105611390904441,0.006667211237992544
NL0 0,1.8794444463423006,34.246944527848534,83.78527123264705,22.478611143323526,152.140775100117,1.817994643715792e-15,17.795000049209932,0.0
NO3 0,4.1113042693935835,17.415221740294925,25.203956330180866,3.4858545727544015,28.155039013443304,0.0007856763622932568,9.116932304210204,1.7062161722296287
PL0 0,16.399446750207588,49.481950010389376,68.75635834415066,7.686116449780207,27.860300811172856,2.9542412960381617e-15,45.413009870448136,5.602220073112583
PT0 0,11.280067665661205,15.480907606209755,13.228290462877634,2.5411082956533484,21.21316951501468,-1.900630763884692e-15,0.14083333333332332,0.649722222222222
RO0 0,2.8569474869268614,20.52502247460452,31.865740540932947,3.1500000000000052,11.508400761824092,0.006388888888893417,8.713128451730167,0.7694452869759716
RS0 0,1.0052522723870467,9.938957479073393,10.269306352591112,1.5220462271588582,9.542262432545035,0.001418806687923922,3.8491063684947164,0.137950409892361
SE3 0,49.78722222222235,50.280999249277606,7.890809393445399,5.608055555555565,23.44889932728355,-9.813039270056833e-16,12.051046217050155,0.0
SI0 0,0.8724843167151761,6.198945285694927,4.736620445183565,0.5713830656088843,1.1436159509163117,4.131806008444982e-16,0.44697162817114877,0.40888678882423163
